experiment_id,group,step,metric,n_runs,n_seeds,n_seeds_with_repeats,within_seed_sd,between_seed_sd,ratio_within_over_between,within_exceeds_between,within_seed_range_max,between_seed_range,n_command_variants,within_is_confounded_by_condition
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,accuracy,6,3,3,0.0006600660066006606,0.0009463504144160998,0.6974858324629389,False,0.0033003300330033403,0.0023102310231022383,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,edit_score,6,3,3,1.2873195098469001,1.1450931888830098,1.1242050187222108,True,4.8366792552839115,2.6132095451736035,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,jaccard,6,3,3,0.00236938647239208,0.008600930247904946,0.27548025668144743,False,0.01019611208984017,0.020916684268041497,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,macro_f1,6,3,3,0.0015740753794482216,0.006045622351904836,0.26036614393425794,False,0.007496117314706008,0.014698215707429463,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,seg_f1_10,6,3,3,0.01360038608813117,0.010797353020686885,1.2596037252902532,True,0.05189128681775734,0.026447626447626438,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,seg_f1_25,6,3,3,0.010047997119075539,0.011134696062432227,0.9024042562757377,False,0.031057953484424028,0.02726532726532732,1,False
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,seg_f1_50,6,3,3,0.01235667926844398,0.01938182946904512,0.6375393658363848,False,0.05005305152363976,0.04653124653124646,1,False
g2_followup_2026-07-29/bboxROI/bboxROI@val,g2_followup_2026-07-29,bboxROI,accuracy,6,3,3,0.00022002200220022639,0.0016391269995325996,0.13423121104280883,False,0.0006600660066007347,0.0036303630363035966,1,False
g2_followup_2026-07-29/bboxROI/bboxROI@val,g2_followup_2026-07-29,bboxROI,edit_score,6,3,3,1.5964415661996298,3.7379492253214557,0.42709022246345235,False,8.568548387096769,8.894500561167227,1,False
g2_followup_2026-07-29/bboxROI/bboxROI@val,g2_followup_2026-07-29,bboxROI,jaccard,6,3,3,0.001351298407545572,0.003966006812609004,0.3407201428019313,False,0.0041631651571228945,0.009570894569192911,1,False
